code,debt
A005930,54932400690
A015760,87421201241
A005380,76876579655
A012330,10897277724
A090430,747602784.6
A035420,1107800259
A028260,5800765966
A032830,1.58E+11
A000660,9074625673
A000270,17680853172
A055550,2.76E+11
A051910,5386997379
A005490,33466349602
A033780,1586993193
A017670,11990709709
A034730,18036755027
A051900,1504459085
A096770,17674200373
A018260,1186033848
A000810,35689187213
A105560,2.63E+11
A002790,934076295.4
A003550,5410311034
A011170,3820915572
A010950,6088128148
A034220,11821554448
A010130,924112684.1
A035250,559204648.2
A066570,21773792897
A008930,214190690.9
A030200,18942509310
A009540,31823634066
A021240,762729492.2
A006400,3019154174
A086790,2.24E+11
A023530,18820369397
A086280,2499663232
A000030,2.45E+11
A004020,13297302331
A024110,1.82E+11
A128940,521111734.6
A161390,3993126331
A001040,11376360644
A047810,1006762074
A018880,1072097838
A001800,1443383148
A088350,69630206901
A027410,681344918.3
A005830,22014327892
A036570,290293893.2
A139480,6407163033
A097950,6334482208
A032640,6171557787
A078930,7904208103
A000120,1804373850
A029780,10006524955
A002380,2456630357
A004800,9920729581
A009240,208899675.8
A007070,1515731688
A009150,2977948027
A009830,7139272516
A012750,316677573.3
A000720,8628265909
A036460,28820016212
A000100,269910764.8
A051600,210224031.9
A012630,3799307113
A004990,1334248089
A069960,1901570492
A007310,419002780.7
A000880,75379527077
A138930,56459286847
A001450,18823044389
A000210,6079574550
A037620,14552677330
A016360,16723782183
A047050,5546472476
A006800,20770591636
A008770,911607435.1
A005940,24792787621
A034020,18089883285
A012450,1690540829
A011210,2629626808
A071050,18002288776
A079160,648995459.3
A005300,1487351065
A047040,6739741557
A004370,707773724.2
A010060,3661753754
A000240,1608654659
A011070,2707758480
A204320,2771183592
A010140,13497195191
A006280,308351639.7
A004170,4606364862
A006360,8091511702
A003520,73267406.67
A079550,812400960.2
A000150,17794924948
A001440,2792231896
A003490,19091870652
A161890,146183077.1
A002550,16307877462
A011780,3790759164
A005440,412957924.4
A111770,368532631.2
A028670,3656120414
A030000,987075123.2
A000670,946977839.2
A006120,2883734791
A028050,3981704421
A006260,6927818379
A002620,153106270.9
A120110,2859059720
A005610,245399099.7
A214320,550415028.8
A114090,170316833.9
A000080,1708636218
A003410,1848892017
A014820,483986080.4
A192400,68060244.63
A000060,8977993174
A057050,264448250.6
A138040,15996286130
A005250,1765681236
A105630,364219118.9
A039490,3308209395
A008560,7211822684
A003690,5516907264
A003450,14510915840
A001740,6390457349
A010120,1060771354
A001120,3300813263
A139130,36135736024
A006650,512184762
A064350,2637119341
A226320,35731392.94
A192820,293789760.4
A010620,5884610290
A017800,847232659.2
A002350,1233278917
A073240,4086407742
A002270,332518245.9
A010780,614036236.6
A042660,13881214967
A000070,922942298.2
A108670,1085711571
A042670,8640395675
A071840,1365800197
A181710,242046688.3
A082640,14815671554
A003000,44719109.29
A068870,291040972.2
A023590,3509372010
A069620,193713839.7
A049770,455766591.8
A064960,414565219.7
A170900,531881561.7
A039130,178606193.1
A052690,333465722.1
A185750,242619851.2
A081660,466619095.1
A145990,505809340.3
A003240,1083233290
A180640,775935962.2
A011790,2052119066
A006040,758855869.2
A001680,988169815.5
A025540,110636653.7
A020000,128669093.9
A003620,1137217142
A037560,850601492.5
A001060,401099799.6
A000640,583860154
A006840,973927475.6
A008000,440008710
A001430,937578192.4
A024720,123544364.5
A007570,198096535.1
A014680,185141466.7
A000990,1107826356
A004000,436091215.5
A175330,28535150667
A034310,273801600.7
A009970,460042008.8
A103140,1602608412
A033920,91113502.73
A009420,50007885.16
A089590,129712079.6
A020560,5996186700
A071320,3011386045
A069260,235531224.1
A115390,131777196.9
A001520,6200730950
A001230,6034021831
A019680,203826801.1
A096760,754190186.3
A018670,1622133584
A002240,659297813
A000370,6883009650
A016450,490954674.5
A072710,382286625.2
A005740,861200862.1
A101530,545418775.5
A012510,82369579.3
A053210,293414511
A060980,1664464759
A000230,252895636.6
A093050,331389424.6
A005180,97956416.43
A003090,232856530.7
A003300,697446315.4
A085620,17759918215
A017810,627886926.2
A009450,130830341.5
A007340,244054618.3
A003470,13555784101
A020150,193434016.1
A002020,2112130601
A210980,175207920
A003060,27805658.95
A002960,32386573.44
A031440,91335655.66
A138250,132455076.5
A093370,150195522.2
A004490,197360844.3
A044820,144586742
A009290,123850008.2
A008490,218760795.4
A029460,64546350.41
A078520,59026273.22
A005850,568568681.2
A003540,10960258803
A007210,169540114.3
A019170,199079648.4
A003850,106630900
A003920,154187117.3
A034120,256051515.2
A016380,3452365776
A058650,1815972954
A036580,338304687
A084690,880431616.4
A025860,180813421.6
A031430,271334285.5
A021960,3185645442
A004430,524756657
A029530,113369311.6
A122900,436076323.2
A001720,3876583852
A009410,1692078437
A004710,235039279.1
A002390,159621118
A005500,83935990.62
A000050,684915943
A192530,17206080493
A101060,135353888.4
A152330,126782127.1
A079430,133196842.6
A005090,459863242.7
A017390,641757256.6
A014830,341706301
A003030,860718710.4
A004690,1492804061
A015860,622738272
A017940,2192847350
A006060,352339977.1
A037710,124166526.9
A900140,66549510.86
A005880,1452636946
A005720,289840494.4
A002320,1122846566
A117930,8305999193
A001630,218128929.4
A126560,114793685.5
A214420,33776164.61
A016800,50281314.7
A002630,58829358.63
A102460,33275363.41
A213500,1093646809
A214390,77214028.4
A032350,93140640.94
A104700,245926817.6
A095720,279443016.6
A003560,26006528.3
A005690,17695181.26
A001780,286647331.1
A000400,4345463359
A042700,48058271.53
A033660,4934705783
A002250,53600704.93
A097230,5196354690
A036530,759962387.9
A003220,37749838.4
A015350,307266265.3
A003200,144480317.3
A138490,94578551.59
A102280,54239438.34
A002810,48119215.37
A008060,107429985.5
A200880,1017576644
A011760,1289131084
A033270,52398530.74
A030610,4169062779
A112610,122882439.7
A004150,1957494498
A007690,230127784.2
A001510,3165894852
A004440,148381173.6
A005810,349605279.6
A002990,3770565896
A004360,285353704.9
A027390,134930337.8
A000480,480184934.7
A006390,751483152
A095570,615017045.9
A089470,282088730.7
A003570,307413543.1
A000140,3066499498
A007160,763426900.7
A004700,35991503.09
A001130,269922105.2
A016580,19593987.89
A008730,144863037.6
A011200,6860702990
A102260,371369130
A000430,561315997.8
A003120,62525440.06
A009680,67375108.96
A001500,3239060397
A002780,535107950
A000020,98211884.61
A183190,194948292.5
A002450,171996132.8
A107590,26319521.55
A001460,184036534.5
A004250,136752082.8
A012320,579675120.1
A000970,103113469.7
A039570,55421214.75
A010050,1205501602
A011160,3168085280
A000320,425170436.2
A000390,201211290.2
A194370,31385481.59
A004970,94059689.35
A017960,58244706.53
A079980,500482858
A002000,139355310.9
A005950,713570549.4
A000180,122260656.9
A004130,108310537.5
A000680,596883155.5
A003530,5760989746
A092230,277522806.5
A007860,945343854.1
A025000,111580843.6
A161000,230257069.9
A004840,257915858.9
A004980,799876736.8
A000700,3099170734
A011000,10027283.21
A010690,481268388.6
A003070,1835309243
A000860,92374813.76
A002030,458440947.2
A013520,816648612.1
A004060,83469988.65
A009580,537052582.6
A001940,212326259.8
A005680,34133144.12
A000540,5085364448
A004380,109184965.6
A012160,98054156.31
A001360,54561129.43
A001250,564181642.4
A001200,3140023691
A084010,364916903.2
A001880,561613651.6
A082740,1389481377
A067830,231328956.1
A085310,217456206.4
A033240,91256840.47
A136490,181783938.7
A015360,713751458.5
A007810,142679656.4
A005390,366369987.9
A014280,342245099.6
A011280,191862408
A007540,79152912.93
A007660,212455106.4
A069640,46801167.74
A001790,1130715884
A090350,262062188
A010820,77745671.73
A004960,1049775960
A068400,558730904.5
A084680,100246894.5
A091090,212718741.7
A004540,316360531.9
A011090,65434516.4
A084870,224675878
A900050,90937460.34
A021820,152887642.9
A006490,6818517.575
A005110,16821480.39
A227840,15510602.63
A044450,203850583.7
A092200,329608521
A002880,325637999
A007700,78187988.13
A005980,133593252.8
A025560,51394616.93
A130660,86692303.85
A000040,73199218.44
A000490,351636956
A001270,444259007
A100250,153283823
A005750,102400375
A002840,78165639.21
A012610,124580895
A004200,756965082.3
A003460,266882770.4
A037270,17764079.81
A012200,34257030.24
A003230,137432242.8
A034300,436503624.5
A026890,52679269.76
A033530,364332775.5
A004310,44127015.69
A103590,448745294
A004830,34855181.43
A092440,14929028.14
A100840,103329968.6
A035150,75351310.13
A007980,295573326
A117580,345101345.4
A009440,234143685.9
A005870,66295095.5
A016880,2266894125
A011930,260795058.4
A006380,278557061.9
A002360,34303760.91
A058860,53377169.88
A001390,492196527.9
A019440,227888629.5
A003650,37971664.43
A006220,3065824897
A002150,118602747.4
A075180,41500235.71
A004910,80174602.28
A016090,94066688.9
A013570,225926974.6
A016710,550494242.3
A041650,144956509.5
A009160,137205615.6
A035510,61720182.38
A063160,55863326.26
A014790,2016158246
A002300,182454275.6
A002310,224275958.5
A094280,61639896.27
A002460,333594844.8
A006370,200483754.8
A123690,56287627.97
A035000,259691274
A016610,4763140252
A000890,435724156.9
A015890,153175501.4
A003160,68437948.3
A019300,247180104.8
A014130,55382061.58
A002820,223507698.7
A012030,313585920.2
A003480,2069985483
A100220,63541801.33
A030210,1132549259
A004870,39247568.14
A002210,67394029.27
A002170,51686595.21
A005800,32338134.13
A058430,265840408
A012280,63317648.88
A001530,368023446.7
A001820,66730664.69
A003830,93453629.02
A001380,59547038.09
A004560,329382530.9
A023000,58097613.38
A009310,349944749.9
A012690,26085481.39
A004770,15766615.43
A163560,89470240.97
A004890,58610166.72
A008350,164789114.3
A006090,100373923.7
A005190,52339021.49
A002700,32203513.06
A024090,29342983.89
A047400,48180321.21
A003280,465191238.7
A008600,120760563.9
A003350,13334436.49
A034590,185250186.6
A003960,209622509.7
A068290,34176990.9
A053690,64777138.31
A110570,720760417.4
A014530,79559501.16
A004720,23765286.61
A134380,20977416.17
A017900,86899426.63
A014990,121257187.7
A078000,20820953.43
A075580,292821159.7
A105840,33987495.74
A006340,131671680.6
A024890,68940589.75
A011150,40831319.7
A018470,112803623.9
A093240,37884912.75
A000650,14702922.3
A007110,24552886.97
A009270,206163610.8
A103130,250062052.5
A025750,145189980.6
A008040,500878276.7
A014710,115464934.9
A012170,39973213.64
A003080,13474080.2
A079660,188789861.5
A014910,18052776.33
A015260,174864422.6
A005430,124484997.3
A009200,1429762204
A007120,12713596.78
A000850,84866797.56
A002100,85006577.81
A058850,87946190.7
A006980,108633773.1
A004080,57466624.88
A001470,1473832992
A033180,32629703.61
A014160,83538298.12
A001260,659263692.6
A000300,454995836.2
A123700,41738699.3
A002600,27392364.14
A001020,310290221.4
A008970,87873587.54
A008700,63880731.96
A008250,261253005.2
A017180,114357769.1
A018500,296237384.7
A009070,139939910.1
A077500,54054465.67
A007190,386171067.2
A017040,53852678.07
A002720,64041879.48
A006880,62338525.09
A002920,98851790.18
A003610,102019019.3
A012800,349186504.3
A020760,88407852.56
A028100,91429454.99
A005360,126299817
A005010,150273599.7
A004450,24811364.3
A007590,37588999.35
A002900,196280841.9
A017550,44280628.3
A013580,969917430.8
A000500,226914283.2
A009770,27136489.96
A145210,148538941.5
A001750,350108948.6
A129260,218794955.5
A081000,61218784.83
A027740,165500438.8
A084670,92607293.91
A016590,149772917.4
A013000,4350460.099
A010960,79413829.9
A006570,114656489.2
A013870,179639779.4
A000220,25668543.16
A077970,1736436882
A000590,29922529.02
A032560,86532695.4
A011330,45633797.36
A083420,56160999.26
A021050,200378844.5
A011690,70345204.59
A023800,260761000.2
A001340,237113122.5
A118000,23193837.15
A133820,159920152.7
A010100,354312560.4
A214330,29692037.95
A005960,1635161390
A006660,70934463.64
A025620,43244831.94
A120030,13015829.04
A002200,74597540.85
A001080,43415314.03
A014440,60743360.78
A001570,86557896.16
A015230,52239253.49
A058730,30390550.78
A144620,107859703.5
A011700,19384248.7
A025530,48061742.88
A001210,278494864.7
A008260,83643745.38
A072130,10045712.89
A104120,55202383.5
A015590,185384157.9
A011420,19650229.69
A015020,39907789.95
A014580,61641082.43
A008870,67524235.64
A088790,86144589.66
A128820,1634717544
A006890,14510038.01
A004100,243104742.1
A155660,57179413.84
A090080,63598464.51
A030790,135798277.2
A024070,16862602.26
A010040,108322587.1
A005320,62114467.94
A092220,240845730.1
A001290,517928493.8
A004090,105688747.3
A023810,72667659.51
A009460,104157534
A004270,136593235.7
A071950,60645314.29
A119650,107876488.4
A210540,131197742.9
A001620,214625881.2
A011300,189500889
A001560,25291995.29
A009190,151447150.1
A004740,61333595.71
A002760,9476150.608
A000950,276732682.6
A025820,162673504.3
A006740,17015917.67
A005420,357873712.6
A002070,53957541.43
A023350,78595429.3
A011500,50787140.54
A000910,76337861.55
A017370,91980802.2
A109070,87637572.14
A093230,32212876.42
A003780,6394855.615
A012600,63718299.32
A009320,27975901.54
A023450,10942567.22
A104110,68643634.09
A024900,183993398.9
A023150,71456964.18
A002410,148678376.4
A013360,131129146.9
A010660,60845824.32
A008110,33614615.64
A004410,26003695.08
A069730,88426366.22
A000760,73540647.12
A008420,46059785.42
A003720,66521990.3
A001070,179654713.9
A003580,29748860.65
A010770,366655502.1
A013700,161900885.6
A000520,52329932.76
A004140,482910786.8
A031820,62619111.34
A026940,31123710.78
A001550,62231276.92
A002710,261936293.2
A007610,35073691.78
A003680,122981699.8
A009180,73986095.68
A033250,60168926.17
A051630,14844791.11
A044380,7662847.509
A005620,1927254132
A071970,1116292968
A002140,75939646.25
A002690,37517904.09
A049800,141532258
A005070,151392906.1
A020120,10242431.73
A005820,38482661.34
A023960,236396412.5
A010420,72193517.95
A090370,87257305.28
A002220,289995767.2
A011390,59578170.27
A005450,116292966
A069460,87546858.48
A019180,126749062.3
A006200,126212296.6
A003010,120579845.5
A009810,3671309.061
A005030,164164763.8
A101140,5145541.039
A030720,58217454.34
A071090,112556250
A007460,208368765.2
A004920,5136813.681
A134790,5309540.023
A006110,73541690.46
A008500,17353231.44
A025890,8854642.21
A015540,8678141.891
A019490,29059565.02
A074610,6959300.327
A011810,5494841347
A009470,93042480.77
A009140,6251786.76
A010600,26699858.87
A007630,42438521.2
A010580,47684583.89
A027970,159036624.6
A001420,13462793.19
A002870,92446120.63
A011720,51830928.55
A011230,64110763.28
A002420,19910598.63
A010640,7201495.31
A001770,44009048.26
A001140,62785685.54
A007280,423216151.4
A070960,548182283.8
