date,rate
20081231,3.203333333
20090331,3.17
20090630,3.163333333
20090930,3.206666667
20091231,3.266666667
20100331,3.24
20100630,3.196666667
20100930,3.166666667
20101231,3.14
20110331,3.073333333
20110630,2.936666667
20110930,2.833333333
20111231,2.726666667
20120331,2.613333333
20120630,2.466666667
20120930,2.363333333
20121231,2.276666667
20130331,2.206666667
20130630,2.083333333
20130930,1.983333333
20131231,1.98
20140331,2.003333333
20140630,2.066666667
20140930,2.013333333
20141231,1.95
20150331,1.86
20150630,1.856666667
20150930,1.873333333
20151231,1.87
